driver_name,class,ranking,accuracy,events
W.R. Sinosky,SR,66,high,1
Ceili Mcclarney,SR,64,high,1
Andrew Benagh,SR,63,high,1
Ceili McClarney,SR,62,high,2
Jasmine McClarney,SR,61,high,3
Mark Pray,SR,61,low,1
Jason Lee,SR,61,high,2
Keith Lightfoot,SR,58,high,2
Steven Critchfield,SR,55,high,1
Susan Puls,SR,54,low,1
James Wood,SR,53,high,1
Jennifer Lux,SR,48,low,1
John Jones,SR,1,high,1
Steve Cerqueira,TM,100,low,1
Ashley Roper,TM,46,low,1
Eli Drennan,TM,43,low,1
Meagan Cerqueira,TM,40,low,1
Edwin Estep,TM,8,low,1
Michael Donovan,TM,1,low,1
Zachary Schmaedeke,UM,100,low,1
Jonathan Coatney,UM,59,low,4
Tyler Bandy,UM,58,low,1
Kevin Jones,UM,53,low,1
Rogerio Balbino,UM,50,low,3
Logan Johnson,UM,50,low,1
Logan Jones,UM,41,low,1
Dane Christensen,UM,26,low,1
Dale Bahr,UM,1,low,1
Evan Williams,US,100,high,2
Timothy Luporini,US,93,high,1
Ed Trudeau,US,88,high,4
Timmy Luporini,US,81,high,1
Andrew Surprenant,US,79,high,1
Jonathan Coatney,US,57,high,1
Wyatt Rhodes,US,49,high,1
Gary Rhodes,US,38,high,2
Stephen Parsons,US,34,high,4
Pete Bates,US,21,high,1
Kenneth Mcbee,US,1,high,1
